Event Receive Time,Incident ID,DayOfWeek(Event Receive Time),HourOfDay(Event Receive Time),Event Type,Event Name,Incident Reporting Device,Incident Source,Incident Target,Host IP,Host Name,Incident Status,Incident Resolution,Incident Tag Name,Incident Comments,Incident Category,Attack Technique,Attack Tactic
2022-10-11 11:19:30,9493,2,11,PH_RULE_SERVER_MEM_CRIT,Server Memory Critical,ussvnplesx59.fortinet-us.com,,"hostIpAddr:172.30.54.59, hostName:ussvnplesx59.fortinet-us.com,",172.30.54.59,ussvnplesx59.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
2022-10-11 11:19:30,9464,2,11,PH_RULE_SERVER_MEM_CRIT,Server Memory Critical,ussvnplesx52.fortinet-us.com,,"hostIpAddr:172.30.54.52, hostName:ussvnplesx52.fortinet-us.com,",172.30.54.52,ussvnplesx52.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
2022-10-11 11:19:30,9471,2,11,PH_RULE_SERVER_MEM_CRIT,Server Memory Critical,ussvnplesx51.fortinet-us.com,,"hostIpAddr:172.30.54.51, hostName:ussvnplesx51.fortinet-us.com,",172.30.54.51,ussvnplesx51.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
2022-10-11 11:19:30,8916,2,11,PH_RULE_ERROR_TooManyUnknownEvents,FortiSIEM: Too Many Unknown Events,sp14816.fortinet.com,"srcIpAddr:10.65.148.16,",,,,0,1,,,2,,
2022-10-11 11:19:30,9092,2,11,PH_RULE_VMWARE_DATASTORE_SPACE_WARN,Datastore Space Warning,vc-devops.fortinet-us.com,,"hostName:vc-devops.fortinet-us.com, datacenter:US-NPL,",,vc-devops.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
2022-10-11 11:19:30,9143,2,11,PH_RULE_SERVER_MEM_CRIT,Server Memory Critical,ussvnplesx56.fortinet-us.com,,"hostIpAddr:172.30.54.56, hostName:ussvnplesx56.fortinet-us.com,",172.30.54.56,ussvnplesx56.fortinet-us.com,2,2,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
2022-10-11 11:19:30,9432,2,11,PH_RULE_ESX_CPU_WARN,ESX CPU Warning,ussvnplesx53.fortinet-us.com,,"hostIpAddr:172.30.54.53, hostName:ussvnplesx53.fortinet-us.com,",172.30.54.53,ussvnplesx53.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
2022-10-11 11:19:30,9460,2,11,PH_RULE_VMWARE_DATASTORE_SPACE_WARN,Datastore Space Warning,vc-devops.fortinet-us.com,,"hostName:vc-devops.fortinet-us.com, datacenter:US-NPL,",,vc-devops.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
2022-10-11 11:19:30,9433,2,11,PH_RULE_SERVER_CPU_WARN,Server CPU Warning,ussvnplesx53.fortinet-us.com,,"hostIpAddr:172.30.54.53, hostName:ussvnplesx53.fortinet-us.com,",172.30.54.53,ussvnplesx53.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
2022-10-11 11:19:30,9463,2,11,PH_RULE_SERVER_MEM_CRIT,Server Memory Critical,ussvnplesx57.fortinet-us.com,,"hostIpAddr:172.30.54.57, hostName:ussvnplesx57.fortinet-us.com,",172.30.54.57,ussvnplesx57.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
