Event Receive Time,Event Type,Event Name,Incident Reporting Device,Incident Source,Incident Target,Host IP,Host Name,Incident Status,Incident Resolution,Incident Tag Name,Incident Comments,Incident Category,Attack Technique,Attack Tactic
10/3/22 18:00,PH_RULE_VMWARE_DATASTORE_SPACE_WARN,Datastore Space Warning,vc-devops.fortinet-us.com,,"hostName:vc-devops.fortinet-us.com, datacenter:US-NPL,",,vc-devops.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
10/3/22 18:00,PH_RULE_ESX_CPU_WARN,ESX CPU Warning,ussvnplesx56.fortinet-us.com,,"hostIpAddr:172.30.54.56, hostName:ussvnplesx56.fortinet-us.com,",172.30.54.56,ussvnplesx56.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
10/3/22 18:00,PH_RULE_ESX_CPU_WARN,ESX CPU Warning,ussvnplesx54.fortinet-us.com,,"hostIpAddr:172.30.54.54, hostName:ussvnplesx54.fortinet-us.com,",172.30.54.54,ussvnplesx54.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
10/3/22 17:56,PH_RULE_ANOMALY_CPU_USAGE,Sudden Increase In System CPU Usage,ussvnplesx51.fortinet-us.com,,"hostName:ussvnplesx51.fortinet-us.com, hostIpAddr:172.30.54.51,",172.30.54.51,ussvnplesx51.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
10/3/22 17:56,PH_RULE_SERVER_CPU_CRIT,Server CPU Critical,ussvnplesx51.fortinet-us.com,,"hostIpAddr:172.30.54.51, hostName:ussvnplesx51.fortinet-us.com,",172.30.54.51,ussvnplesx51.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
10/3/22 17:56,PH_RULE_ESX_CPU_CRIT,ESX CPU Critical,ussvnplesx51.fortinet-us.com,,"hostIpAddr:172.30.54.51, hostName:ussvnplesx51.fortinet-us.com,",172.30.54.51,ussvnplesx51.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
10/3/22 17:55,PH_RULE_SERVER_MEM_CRIT,Server Memory Critical,ussvnplesx52.fortinet-us.com,,"hostIpAddr:172.30.54.52, hostName:ussvnplesx52.fortinet-us.com,",172.30.54.52,ussvnplesx52.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
10/3/22 17:55,PH_RULE_SERVER_CPU_CRIT,Server CPU Critical,ussvnplesx53.fortinet-us.com,,"hostIpAddr:172.30.54.53, hostName:ussvnplesx53.fortinet-us.com,",172.30.54.53,ussvnplesx53.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
10/3/22 17:55,PH_RULE_ESX_CPU_CRIT,ESX CPU Critical,ussvnplesx53.fortinet-us.com,,"hostIpAddr:172.30.54.53, hostName:ussvnplesx53.fortinet-us.com,",172.30.54.53,ussvnplesx53.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
10/3/22 17:55,PH_RULE_ESX_CPU_WARN,ESX CPU Warning,ussvnplesx52.fortinet-us.com,,"hostIpAddr:172.30.54.52, hostName:ussvnplesx52.fortinet-us.com,",172.30.54.52,ussvnplesx52.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
10/3/22 17:55,PH_RULE_SERVER_CPU_WARN,Server CPU Warning,ussvnplesx52.fortinet-us.com,,"hostIpAddr:172.30.54.52, hostName:ussvnplesx52.fortinet-us.com,",172.30.54.52,ussvnplesx52.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
10/3/22 17:55,PH_RULE_VMWARE_DATASTORE_SPACE_WARN,Datastore Space Warning,vc-devops.fortinet-us.com,,"hostName:vc-devops.fortinet-us.com, datacenter:US-NPL,",,vc-devops.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
10/3/22 17:55,PH_RULE_SERVER_MEM_CRIT,Server Memory Critical,ussvnplesx59.fortinet-us.com,,"hostIpAddr:172.30.54.59, hostName:ussvnplesx59.fortinet-us.com,",172.30.54.59,ussvnplesx59.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
10/3/22 17:55,PH_RULE_VMWARE_DATASTORE_SPACE_WARN,Datastore Space Warning,vc-devops.fortinet-us.com,,"hostName:vc-devops.fortinet-us.com, datacenter:US-NPL,",,vc-devops.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
10/3/22 17:55,PH_RULE_VMWARE_DATASTORE_SPACE_WARN,Datastore Space Warning,vc-devops.fortinet-us.com,,"hostName:vc-devops.fortinet-us.com, datacenter:US-NPL,",,vc-devops.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
10/3/22 17:55,PH_RULE_ESX_CPU_CRIT,ESX CPU Critical,ussvnplesx58.fortinet-us.com,,"hostIpAddr:172.30.54.58, hostName:ussvnplesx58.fortinet-us.com,",172.30.54.58,ussvnplesx58.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
10/3/22 17:55,PH_RULE_SERVER_CPU_CRIT,Server CPU Critical,ussvnplesx58.fortinet-us.com,,"hostIpAddr:172.30.54.58, hostName:ussvnplesx58.fortinet-us.com,",172.30.54.58,ussvnplesx58.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
10/3/22 17:55,PH_RULE_VMWARE_DATASTORE_SPACE_WARN,Datastore Space Warning,vc-devops.fortinet-us.com,,"hostName:vc-devops.fortinet-us.com, datacenter:US-NPL,",,vc-devops.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
10/3/22 17:55,PH_RULE_SERVER_MEM_CRIT,Server Memory Critical,ussvnplesx54.fortinet-us.com,,"hostIpAddr:172.30.54.54, hostName:ussvnplesx54.fortinet-us.com,",172.30.54.54,ussvnplesx54.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
